,preprocessing,dimred,n_components,n_neighbors,min_dist,perplexity,clustering,k,silhouette,stability_ari
0,raw,pca,2,,,,kmeans,3,0.4867668077821257,0.9875500306002394
1,raw,pca,2,,,,kmeans,4,0.49937345938403105,0.9991772091805686
2,raw,pca,2,,,,kmeans,5,0.5449981339516393,0.9992223863371679
3,raw,pca,2,,,,gmm,3,0.44787034453387903,0.8016047322938544
4,raw,pca,2,,,,gmm,4,0.38533673601712615,0.5725643258360672
5,raw,pca,2,,,,gmm,5,0.4120781988225949,0.9027735230447125
6,raw,pca,2,,,,hierarchical,3,0.5966355622425478,0.9256359485443574
7,raw,pca,2,,,,hierarchical,4,0.45839177857028013,0.6865060406368283
8,raw,pca,2,,,,hierarchical,5,0.5134486375303687,0.8849423266629663
9,raw,pca,3,,,,kmeans,3,0.43682090113568883,0.9944818248663758
10,raw,pca,3,,,,kmeans,4,0.4439207757237892,0.9971953650862929
11,raw,pca,3,,,,kmeans,5,0.4798516073312048,0.9972035614686008
12,raw,pca,3,,,,gmm,3,0.42410538015988486,0.8934186633461739
13,raw,pca,3,,,,gmm,4,0.35090110679848735,0.6817955546497997
14,raw,pca,3,,,,gmm,5,0.36178207201046503,0.9062311688526101
15,raw,pca,3,,,,hierarchical,3,0.42475662388465846,0.9998200735013573
16,raw,pca,3,,,,hierarchical,4,0.4407060364334175,0.9939547290709783
17,raw,pca,3,,,,hierarchical,5,0.47884439064692225,0.9916979267076169
18,raw,pca,5,,,,kmeans,3,0.4343523622373894,0.9894118070548104
19,raw,pca,5,,,,kmeans,4,0.4414059918370302,0.9976426384427604
20,raw,pca,5,,,,kmeans,5,0.47596419404025175,0.9848829165467105
21,raw,pca,5,,,,gmm,3,0.41885490134888076,0.9642294350563195
22,raw,pca,5,,,,gmm,4,0.4033714650458251,0.8424404881826321
23,raw,pca,5,,,,gmm,5,0.3796659915880618,0.9343460019764911
24,raw,pca,5,,,,hierarchical,3,0.4220455889161427,0.9979246629969615
25,raw,pca,5,,,,hierarchical,4,0.4376570926760769,0.9932881816903651
26,raw,pca,5,,,,hierarchical,5,0.47525709835127034,0.9902223836853418
27,raw,pca,10,,,,kmeans,3,0.43321615650637035,0.9920527885128854
28,raw,pca,10,,,,kmeans,4,0.4400739819701945,0.996969443776442
29,raw,pca,10,,,,kmeans,5,0.4744314519133839,0.982119043186911
30,raw,pca,10,,,,gmm,3,0.41977530040263894,0.8360228462705774
31,raw,pca,10,,,,gmm,4,0.40500331144498314,0.7282246014866126
32,raw,pca,10,,,,gmm,5,0.3370600355877827,0.889830570772719
33,raw,pca,10,,,,hierarchical,3,0.42084502647162597,0.992676951221294
34,raw,pca,10,,,,hierarchical,4,0.4362794746870935,0.9941115555497667
35,raw,pca,10,,,,hierarchical,5,0.4735129726894411,0.9830756900614955
36,raw,umap,2,5.0,0.0,,kmeans,3,0.3861979842185974,0.9662735862572638
37,raw,umap,2,5.0,0.0,,kmeans,4,0.37979742884635925,0.9896067542903482
38,raw,umap,2,5.0,0.0,,kmeans,5,0.36394524574279785,0.9767655493600875
39,raw,umap,2,5.0,0.0,,gmm,3,0.35879257321357727,0.3214037124208646
40,raw,umap,2,5.0,0.0,,gmm,4,0.36386141180992126,0.564929208722312
41,raw,umap,2,5.0,0.0,,gmm,5,0.35891586542129517,0.630327458322444
42,raw,umap,2,5.0,0.0,,hierarchical,3,0.342568576335907,0.6446857121094556
43,raw,umap,2,5.0,0.0,,hierarchical,4,0.31761616468429565,0.5278577454920914
44,raw,umap,2,5.0,0.0,,hierarchical,5,0.321267306804657,0.608688696948912
45,raw,umap,2,5.0,0.1,,kmeans,3,0.37478137016296387,0.8989504409188682
46,raw,umap,2,5.0,0.1,,kmeans,4,0.37032538652420044,0.8972269226101792
47,raw,umap,2,5.0,0.1,,kmeans,5,0.3606203496456146,0.7959518436242583
48,raw,umap,2,5.0,0.1,,gmm,3,0.37342414259910583,0.5871548061461429
49,raw,umap,2,5.0,0.1,,gmm,4,0.36106863617897034,0.5112793056509705
50,raw,umap,2,5.0,0.1,,gmm,5,0.3479737639427185,0.6780093058824399
51,raw,umap,2,5.0,0.1,,hierarchical,3,0.3322872817516327,0.45018872109878644
52,raw,umap,2,5.0,0.1,,hierarchical,4,0.315803200006485,0.540085342734854
53,raw,umap,2,5.0,0.1,,hierarchical,5,0.2988184094429016,0.6693177105677459
54,raw,umap,2,5.0,0.5,,kmeans,3,0.3905774652957916,0.9881808129391477
